33	> 本章属于：Burbidge, Burbidge, Fowler, Hoyle (1957) — *Synthesis of the Elements in Stars* (B²FH)	> 本章属于：Burbidge, Burbidge, Fowler, Hoyle (1957) — *Synthesis of the Elements in Stars* (B$^2$FH)	R2 核素/希腊字母/单位
52	| **Keywords** | 核合成、r 过程、s 过程、p 过程、α 过程、ε 过程、Big Bang 核合成、超新星、中子俘获、元素丰度、恒星演化、技术锝（Tc⁹⁹）、超重元素 |	| **Keywords** | 核合成、r 过程、s 过程、p 过程、$\alpha$ 过程、$\epsilon$ 过程、Big Bang 核合成、超新星、中子俘获、元素丰度、恒星演化、技术锝（Tc⁹⁹）、超重元素 |	R2 核素/希腊字母/单位
61	[FACT] 本文提出：**宇宙中所有比氦重的元素，都是在恒星内部或恒星爆炸（特别是超新星）过程中，通过一套相互关联的核反应过程（pp 链/CN 循环、³He 燃烧、α 过程、ε 平衡过程、s 过程、r 过程、p 过程、x 过程）从原始氢逐步"合成"出来的**，并系统解释了观测到的元素/同位素丰度曲线的全部精细结构（铁峰、A=80/130/194 双峰、N=50/82/126 幻数峰、质子富集核的缺失等）。	[FACT] 本文提出：**宇宙中所有比氦重的元素，都是在恒星内部或恒星爆炸（特别是超新星）过程中，通过一套相互关联的核反应过程（pp 链/CN 循环、$^{3}{\rm He}$ 燃烧、$\alpha$ 过程、$\epsilon$ 平衡过程、s 过程、r 过程、p 过程、x 过程）从原始氢逐步"合成"出来的**，并系统解释了观测到的元素/同位素丰度曲线的全部精细结构（铁峰、A=80/130/194 双峰、N=50/82/126 幻数峰、质子富集核的缺失等）。	R2 核素/希腊字母/单位
82	III. Hydrogen Burning, Helium Burning, the α Process, and Neutron Production (P13–P31)	III. Hydrogen Burning, Helium Burning, the $\alpha$ Process, and Neutron Production (P13–P31)	R2 核素/希腊字母/单位
85	C. Pure Helium Burning (3α→¹²C；⁴He 链至 ²⁰Ne、²⁴Mg)	C. Pure Helium Burning (3$\alpha$→$^{12}{\rm C}$；$^{4}{\rm He}$ 链至 $^{20}{\rm Ne}$、$^{24}{\rm Mg}$)	R2 核素/希腊字母/单位
86	D. The α Process (²⁰Ne 起始的 α 逐次加积至 ⁴⁰Ca/⁴⁴Ca/⁴⁸Ti)	D. The $\alpha$ Process ($^{20}{\rm Ne}$ 起始的 $\alpha$ 逐次加积至 $^{40}{\rm Ca}$/$^{44}{\rm Ca}$/$^{48}{\rm Ti}$)	R2 核素/希腊字母/单位
88	F. Burning of Hydrogen and Helium with Mixtures of Other Elements; Stellar Neutron Sources (¹²C(n,α)⁹Be, ²⁰Ne(α,n)²⁴Mg)	F. Burning of Hydrogen and Helium with Mixtures of Other Elements; Stellar Neutron Sources ($^{12}{\rm C}$(n,$\alpha$)$^{9}{\rm Be}$, $^{20}{\rm Ne}$($\alpha$,n)$^{24}{\rm Mg}$)	R2 核素/希腊字母/单位
89	IV.  The ε (equilibrium) Process (P31–P36)	IV.  The $\epsilon$ (equilibrium) Process (P31–P36)	R2 核素/希腊字母/单位
90	极高 T、ρ 下的铁族元素合成；N/Z 平衡与自由中子/质子费米分布；Tuttle 计算	极高 T、$\rho$ 下的铁族元素合成；N/Z 平衡与自由中子/质子费米分布；Tuttle 计算	R2 核素/希腊字母/单位
96	Steady-flow 概念、σN 常数关系、双时间标度、幻数峰	Steady-flow 概念、$\sigma$N 常数关系、双时间标度、幻数峰	R2 核素/希腊字母/单位
108	(p,γ) 与 (γ,n) 光致蜕变；质子富集核（p-nuclei）	(p,$\gamma$) 与 ($\gamma$,n) 光致蜕变；质子富集核（p-nuclei）	R2 核素/希腊字母/单位
116	B. α Process	B. $\alpha$ Process	R2 核素/希腊字母/单位
118	D–G. s/r/p/α 过程在各型恒星中的体现（S 型星、碳星、Population II、peculiar A stars 等）	D–G. s/r/p/$\alpha$ 过程在各型恒星中的体现（S 型星、碳星、Population II、peculiar A stars 等）	R2 核素/希腊字母/单位
137	| (ii) | Helium Burning | 3α 与 α 逐次俘获 | ¹²C、¹⁶O、²⁰Ne、²⁴Mg | $10^{7}$–$10^{8}$ yr | 红巨星核心（T~$10^{8}$ K，ρ~$10^{5}$ g/cm³） |	| (ii) | Helium Burning | 3$\alpha$ 与 $\alpha$ 逐次俘获 | $^{12}{\rm C}$、$^{16}{\rm O}$、$^{20}{\rm Ne}$、$^{24}{\rm Mg}$ | $10^{7}$–$10^{8}$ yr | 红巨星核心（T~$10^{8}$ K，$\rho$~$10^{5}$ g/cm³） |	R2 核素/希腊字母/单位
138	| (iii) | α (alpha) Process | Ne²⁰ 起逐次 α 俘获 | ²⁴Mg、²⁸Si、³²S、³⁶Ar、⁴⁰Ca、⁴⁴Ca、⁴⁸Ti | $10^{6}$–$10^{7}$ yr | 演化后期收缩相 |	| (iii) | $\alpha$ (alpha) Process | Ne²⁰ 起逐次 $\alpha$ 俘获 | $^{24}{\rm Mg}$、$^{28}{\rm Si}$、$^{32}{\rm S}$、$^{36}{\rm Ar}$、$^{40}{\rm Ca}$、$^{44}{\rm Ca}$、$^{48}{\rm Ti}$ | $10^{6}$–$10^{7}$ yr | 演化后期收缩相 |	R2 核素/希腊字母/单位
139	| (iv) | ε (epsilon) Process | 极高 T、ρ 下的统计平衡 | 铁族（V,Cr,Mn,Fe,Co,Ni，A≈50–62） | 秒或分钟 | 超新星爆发前 |	| (iv) | $\epsilon$ (epsilon) Process | 极高 T、$\rho$ 下的统计平衡 | 铁族（V,Cr,Mn,Fe,Co,Ni，A≈50–62） | 秒或分钟 | 超新星爆发前 |	R2 核素/希腊字母/单位
140	| (v) | s Process（slow） | (n,γ)，每步间 β 衰变慢于中子俘获 | 23≲A≲46（大部分）；63≲A≲209（相当比例） | $10^{3}$–$10^{8}$ yr | 红巨星内部（伴随 Tc⁹⁹） |	| (v) | s Process（slow） | (n,$\gamma$)，每步间 $\beta$ 衰变慢于中子俘获 | 23≲A≲46（大部分）；63≲A≲209（相当比例） | $10^{3}$–$10^{8}$ yr | 红巨星内部（伴随 Tc⁹⁹） |	R2 核素/希腊字母/单位
141	| (vi) | r Process（rapid） | (n,γ)，中子俘获极快；β 衰变时标 0.01–1 s | 70≲A≲209（大量）；U、Th；可能含轻元素如 ⁴⁴Ca | 10–100 s | 超新星爆发 |	| (vi) | r Process（rapid） | (n,$\gamma$)，中子俘获极快；$\beta$ 衰变时标 0.01–1 s | 70≲A≲209（大量）；U、Th；可能含轻元素如 $^{44}{\rm Ca}$ | 10–100 s | 超新星爆发 |	R2 核素/希腊字母/单位
142	| (vii) | p Process | (p,γ) 或 (γ,n) 光致蜕变 | 质子富集核（低丰度） | 分钟级 | 超新星 II 型外抛壳 |	| (vii) | p Process | (p,$\gamma$) 或 ($\gamma$,n) 光致蜕变 | 质子富集核（低丰度） | 分钟级 | 超新星 II 型外抛壳 |	R2 核素/希腊字母/单位
145	**辅助过程**：自由中子源（¹²C(n,α)⁹Be 及 ²⁰Ne(α,n)²⁴Mg）——Cameron (1954/55) 与 Greenstein (1954) 首先提出，Marion & Fowler 给出速率。	**辅助过程**：自由中子源（$^{12}{\rm C}$(n,$\alpha$)$^{9}{\rm Be}$ 及 $^{20}{\rm Ne}$($\alpha$,n)$^{24}{\rm Mg}$）——Cameron (1954/55) 与 Greenstein (1954) 首先提出，Marion & Fowler 给出速率。	R2 核素/希腊字母/单位
152	4. 超新星中 ⁵⁶Ni/⁵⁶Co 衰变链——超新星爆发内快速中子俘获的证据。	4. 超新星中 $^{56}{\rm Ni}$/$^{56}{\rm Co}$ 衰变链——超新星爆发内快速中子俘获的证据。	R2 核素/希腊字母/单位
183	| 附表 III.4 | α 过程产物相对丰度 |	| 附表 III.4 | $\alpha$ 过程产物相对丰度 |	R2 核素/希腊字母/单位
187	| 附录 | 每个同位素的 σ(n,γ)、t_β、过程归属（P96–P102，共 1200+ 核素） |	| 附录 | 每个同位素的 $\sigma$(n,$\gamma$)、t_$\beta$、过程归属（P96–P102，共 1200+ 核素） |	R2 核素/希腊字母/单位
204	- [`0002_trimble-1975`](../../0002_trimble-1975/literature_analysis/00_overview.md) — Trimble 1975 是 B²FH 18 年后的权威更新综述	- [`0002_trimble-1975`](../../0002_trimble-1975/literature_analysis/00_overview.md) — Trimble 1975 是 B$^2$FH 18 年后的权威更新综述	R2 核素/希腊字母/单位
205	- [`0003_fowler-1984`](../../0003_fowler-1984/literature_analysis/00_overview.md) — Fowler 1984 Nobel Lecture 部分作者来自 B²FH 团队	- [`0003_fowler-1984`](../../0003_fowler-1984/literature_analysis/00_overview.md) — Fowler 1984 Nobel Lecture 部分作者来自 B$^2$FH 团队	R2 核素/希腊字母/单位
206	- [`0004_wallerstein-1997`](../../0004_wallerstein-1997/literature_analysis/00_overview.md) — Wallerstein 1997 是 B²FH 40 年回顾	- [`0004_wallerstein-1997`](../../0004_wallerstein-1997/literature_analysis/00_overview.md) — Wallerstein 1997 是 B$^2$FH 40 年回顾	R2 核素/希腊字母/单位
210	- [`0004_wallerstein-1997`](../../0004_wallerstein-1997/literature_analysis/00_overview.md) — B²FH 40 年进展综述	- [`0004_wallerstein-1997`](../../0004_wallerstein-1997/literature_analysis/00_overview.md) — B$^2$FH 40 年进展综述	R2 核素/希腊字母/单位
1	> 本章属于：B²FH (1957) — *Synthesis of the Elements in Stars*	> 本章属于：B$^2$FH (1957) — *Synthesis of the Elements in Stars*	R2 核素/希腊字母/单位
63	| A>100 后斜率骤降为缓变 | s 过程 σ(n,γ) 常数；r 过程的"循环（cycling）" |	| A>100 后斜率骤降为缓变 | s 过程 $\sigma$(n,$\gamma$) 常数；r 过程的"循环（cycling）" |	R2 核素/希腊字母/单位
