67	> We survey the theory and experimental tests for the propagation of cosmic rays in the Galaxy up to energies of 10¹⁵ eV. A guide to the previous reviews and essential literature is given, followed by an exposition of basic principles. The basic ideas of cosmic-ray propagation are described, and the physical origin of its processes are explained. The various techniques for computing the observational consequences of the theory are described and contrasted. These include analytical and numerical techniques. We present the comparison of models with data including direct and indirect – especially gamma-ray – observations, and indicate what we can learn about cosmic-ray propagation. Some particular important topics including electrons and antiparticles are chosen for discussion.	> We survey the theory and experimental tests for the propagation of cosmic rays in the Galaxy up to energies of $10^{15}$ eV. A guide to the previous reviews and essential literature is given, followed by an exposition of basic principles. The basic ideas of cosmic-ray propagation are described, and the physical origin of its processes are explained. The various techniques for computing the observational consequences of the theory are described and contrasted. These include analytical and numerical techniques. We present the comparison of models with data including direct and indirect – especially gamma-ray – observations, and indicate what we can learn about cosmic-ray propagation. Some particular important topics including electrons and antiparticles are chosen for discussion.	R1 参数下标/科学记数法
71	本文综述了银河系中宇宙线传播至 10¹⁵ eV 能量的理论与实验检验。首先给出了以往综述和重要文献的导览，随后阐述基本原理。介绍了宇宙线传播的基本思想及其物理起源，描述并比较了计算理论观测后果的各种方法——包括解析法和数值法。呈现了模型与数据的比较，涵盖直接观测和间接观测（尤其是伽马射线），并指出我们能从中学到关于宇宙线传播的什么知识。选取电子和反物质等若干重要专题进行讨论。	本文综述了银河系中宇宙线传播至 $10^{15}$ eV 能量的理论与实验检验。首先给出了以往综述和重要文献的导览，随后阐述基本原理。介绍了宇宙线传播的基本思想及其物理起源，描述并比较了计算理论观测后果的各种方法——包括解析法和数值法。呈现了模型与数据的比较，涵盖直接观测和间接观测（尤其是伽马射线），并指出我们能从中学到关于宇宙线传播的什么知识。选取电子和反物质等若干重要专题进行讨论。	R1 参数下标/科学记数法
75	- **能量上限**：10¹⁵ eV（"膝"区，作者明确排除高于此能量的宇宙线）	- **能量上限**：$10^{15}$ eV（"膝"区，作者明确排除高于此能量的宇宙线）	R1 参数下标/科学记数法
32	- 高能（>10¹⁵ eV）宇宙线：作者明确排除，引用 (16–18) 和 (25–27)	- 高能（>$10^{15}$ eV）宇宙线：作者明确排除，引用 (16–18) 和 (25–27)	R1 参数下标/科学记数法
62	- 能量高于 10¹⁵ eV 的宇宙线	- 能量高于 $10^{15}$ eV 的宇宙线	R1 参数下标/科学记数法
88	[FACT] 作者认为："the diffusion model with possible inclusion of convection provides the most adequate description of CR transport in the Galaxy at energies below about 10¹⁷ eV."	[FACT] 作者认为："the diffusion model with possible inclusion of convection provides the most adequate description of CR transport in the Galaxy at energies below about $10^{17}$ eV."	R1 参数下标/科学记数法
110	| ¹⁰Be | 1.51×10⁶ y | 寿命最长、测量最好 |	| ¹⁰Be | 1.51×$10^{6}$ y | 寿命最长、测量最好 |	R1 参数下标/科学记数法
111	| ²⁶Al | 7.2×10⁵ y |  |	| ²⁶Al | 7.2×$10^{5}$ y |  |	R1 参数下标/科学记数法
112	| ³⁶Cl | 3×10⁵ y |  |	| ³⁶Cl | 3×$10^{5}$ y |  |	R1 参数下标/科学记数法
113	| ⁵⁴Mn | 312×10³ y |  |	| ⁵⁴Mn | 312×$10^{3}$ y |  |	R1 参数下标/科学记数法
